Description,Question,Equation,Input Numbers,Output,numbers
because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round .,how many cookies were sold by lucy ?,+ number0 number1,34 27,61.0,2
ted and fred measured their height . fred 's height is number0 inches . ted is number1 inches tall .,what 's the difference between ted 's height and fred 's height ?,- number0 number1,98 39,59.0,2
for the roof john would need number0 sets of metal bars for support . if each set has number1 metal bars,how many metal bars are there in all ?,* number0 number1,2 7,14.0,2
molly had number0 candles on her birthday cake . she grew older and got number1 more on her birthday cake .,how old is molly now ?,+ number0 number1,14 6,20.0,2
vice-mayor alexander wanted to join in with the mayor 's advocacy . he organized a party and invited the whole city to attend . if he hired number0 caterers having number1 employees each,how many people are working for the party ?,* number0 number1,5 50,250.0,2
adam had some quarters . he spent number0 of them at the arcade and had number1 left over .,how many quarters did he have to start with ?,+ number0 number1,9 79,88.0,2
roger mowed his lawn number0 times total during the spring and summer . if he mowed it number1 times in the summer .,how many times did he mow in the spring ?,- number0 number1,15 9,6.0,2
edward had number0 baseball cards in number1 binders . if each binder has the same number of cards,how many cards are in each binder ?,/ number0 number1,763 7,109.0,2
a baker already had number0 cakes but made number1 extra .,how many cakes did the baker have total ?,+ number0 number1,78 9,87.0,2
jill invited number0 people to her birthday party . they each ate number1 pieces of pizza .,how many pieces of pizza did they eat ?,* number0 number1,37 8,296.0,2
a restaurant sold number0 sodas in the morning and number1 in the afternoon .,how many sodas did they sell total ?,+ number0 number1,77 19,96.0,2
joe had number0 toy cars . if he gets number1 more cars,how many cars will he have then ?,+ number0 number1,50 12,62.0,2
i put another number into my machine . the machine added number0 and then subtracted number1 the number number2 came out of the machine .,what number did i put in ?,- + number2 number1 number0,15 6 35,26.0,3
for the school bake sale amy made pastries . she baked number0 cupcakes and number1 cookies . after the sale she had number2 to take back home .,how many pastries did she sell ?,- + number0 number1 number2,15 48 12,51.0,3
aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers .,how many dangerous animals did the teacher point out in total ?,+ + number0 number1 number2,22 23 5,50.0,3
mrs. hilt and her sister drove to a concert number0 miles away . they drove number1 miles and then stopped for gas . her sister put number2 gallons of gas in the car .,how many miles did they have left to drive ?,- number0 number1,78 32 28,46.0,2
at a carnival there are number0 kids teenagers and adults waiting to get in . number1 are teenagers number2 are adults and the rest are kids .,how many kids are waiting in line at the carnival ?,- - number0 number1 number2,87 24 19,44.0,3
the music room has number0 violins . there are also number1 flutes . number2 students are in the school band .,how many instruments are in the music room ?,+ number0 number1,27 15 18,42.0,2
there are number0 birds on the fence . number1 more birds land on the fence .,how many birds are on the fence ?,+ number0 number1,12 8,20.0,2
after visiting the museum benjamin went back to the hotel where he prepared for new year 's eve at the annual times square ball drop . to get there he took number0 steps to the rockefeller center then number1 steps to times square itself .,how many steps did he take before reaching times square ?,+ number0 number1,354 228,582.0,2
for bianca 's birthday number0 of her friends gave her number1 dollars .,how much money did she get for her birthday ?,* number0 number1,5 6,30.0,2
a baker made number0 batches of chocolate chip cookies . each batch had number1 cookies in it . then he made an additional number2 oatmeal cookies just in case someone did n't want chocolate chip .,how many cookies did he bake total ?,+ * number0 number1 number2,2 3 4,10.0,3
for halloween frank got number0 pounds of candy . if he gave number1 pounds to nancy,what 's the difference between the pounds of frank 's candy before he gave nancy and he gave to ?,- number0 number1,15 8,7.0,2
maria took number0 fish out of her fish tank . now there are number1 fish in the tank .,how many fish were in the tank to start with ?,+ number0 number1,16 3,19.0,2
willy has number0 crayons . lucy has number1 crayons .,how many more crayons does willy have then lucy ?,- number0 number1,1400 290,1110.0,2
a chef had number0 apples . after making a pie he had number1 left .,how many apples did he use in the pie ?,- number0 number1,16 7,9.0,2
a chef was making pies . he made number0 apple number1 pecan and number2 pumpkin pies .,how many pies did he make total ?,+ + number0 number1 number2,2 4 7,13.0,3
it took all of the workers number0 year to finish the animus tower and it was indeed the brightest and tallest structure that can be seen at animapolis ' skyline . if the first half of the building has number1 stories and the second half has number2 stories .,how many stories do the animus tower has ?,+ number1 number2,1 145 255,400.0,2
there are number0 stickers on a page . if you have number1 pages of stickers,how many stickers do you have ?,* number0 number1,10 22,220.0,2
tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's backpack weighs number2 pounds . they hiked number3 miles the first day .,what 's the difference between the pounds of backpack of tripp and charlotte ?,- number1 number2,36 25 18 9,7.0,2
haley bought number0 new shirts for school . if she returned number1 of them,how many did she end up with ?,- number0 number1,11 6,5.0,2
chris is inviting number0 friends to a party . he has number1 cookies and number2 peices of candy .,how many cookies will each friend get ?,/ number1 number0,82 1804 10,22.0,2
sam put number0 pretzels in a bowl for the party . his friends ate number1 of them . sam put in number2 more pretzels .,how many pretzels were in the bowl then ?,+ - number0 number1 number2,86 49 27,64.0,3
while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storage,how much additional metal does he need to buy ?,- number0 number1,635 276,359.0,2
a chef used number0 apples to make a pie . now he has number1 apples left .,how many apples did he have before he made the pie ?,+ number0 number1,15 4,19.0,2
a worm has fallen into a hole that is number0 inches deep . it climbs up number1 inches and slides back number2 inches every day .,how many days will it take the worm to reach the top ?,/ number0 - number1 number2,26 8 3,5.2,3
there are number0 leaves . there are number1 ladybugs on each leaf .,how many ladybugs are there in all ?,* number0 number1,84 139,11676.0,2
a store sold number0 cold drinks and number1 hot drinks .,how many drinks did they sell total ?,+ number0 number1,8 3,11.0,2
connie has number0 red markers and number1 blue markers .,how many markers does she have altogether ?,+ number0 number1,41 64,105.0,2
number0 people are going to the zoo . there are number1 cars to take people to the zoo .,how many will go in each car if the same number go in each car ?,/ number0 number1,63 3,21.0,2
the clown blew up number0 balloons . then he blew up number1 more balloons .,how many balloons does the clown have now ?,+ number0 number1,47 13,60.0,2
mike collected number0 cans to recycle on monday and number1 more on tuesday .,how many cans did mike collect all together ?,+ number0 number1,71 27,98.0,2
helen the hippo and her friends are preparing for thanksgiving at helen 's house . helen baked number0 chocolate chip cookies yesterday and number1 cookies this morning .,how many cookies did helen bake ?,+ number0 number1,435 139,574.0,2
on facebook debby had number0 photos of her friends and number1 photos of her family .,how many photos did she have total ?,+ number0 number1,63 23,86.0,2
maria was buying dvds of her old favorite tv series . she bought number0 dvds at the store and she bought number1 online .,how many dvds did she buy total ?,+ number0 number1,8 2,10.0,2
adam could fit number0 action figures on each shelf in his room . his room has number1 shelves .,how many action figures total could his shelves hold ?,* number0 number1,9 3,27.0,2
at the school halloween party number0 girls and number1 boys dressed as ghosts .,how many people total dressed as a ghost ?,+ number0 number1,2 9,11.0,2
next on his shopping list are the eggs . if he needs number0 eggs for his cake and his friend andrew gave him number1,how many more eggs should he buy ?,- number0 number1,222 155,67.0,2
haley has number0 magazines in her cabinet . she plans to send it to the recycling office in their area . if she places it in boxes which can contain number1 magazines,how many boxes will she use ?,/ number0 number1,63 9,7.0,2
lana had number0 extra nickels . if she put them into stacks with number1 in each stack,how many stacks could she make ?,/ number0 number1,72 8,9.0,2
annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blocks,how many houses are there in her village ?,* number0 number1,5 9,45.0,2
kale mowed his lawn number0 times total during the spring . if he mowed it number1 times in the summer .,what 's the difference between the number of times on mowing in the spring and summer ?,- number0 number1,8 5,3.0,2
mrs. hilt is baking bread . she needs number0 cups of flour to bake number1 loaves of bread .,how much flour will she need to make number2 loaf of bread ?,/ number0 number1,5 2 1,2.5,2
katie spent a total $ number0 on her whole stay in the island . if she spent $ number1 on food and $ number2 on hotel rooms,how much did she spend on buying other stuff ?,- number0 + number1 number2,350.00 125.00 135.00,90.0,3
recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 .,about how many stamps did they sell ?,+ number0 number1,578833 523776 1,1102609.0,2
after a week sofia did a survey to ask if the students liked the new menu . she found out that number0 students liked the new menu while number1 did n't .,how many students took part in sofia 's survey ?,+ number0 number1,235 165,400.0,2
before they end the meeting tom counted the total number of robots in his collection . he has number0 sets of robots and each set is composed of number1 robots .,how many robots does tom have in his collection ?,* number0 number1,6 7,42.0,2
sarah picked number0 apples . her brother picked number1 apples .,how many times as many apples did sarah pick ?,/ number0 number1,45 9,5.0,2
bobby ate number0 pieces of candy . then he ate number1 more .,how many pieces of candy did bobby eat ?,+ number0 number1,26 17,43.0,2
a museum had number0 paintings . if they got rid of number1 of them,how many pictures would they have left ?,- number0 number1,13 8,5.0,2
after the day they were able to make number0 institutions happy . if each institution has number1 people .,how many people were made happy by the mayor and vice-mayor ?,* number0 number1,6 80,480.0,2
there are number0 baskets . there are number1 apples in each basket .,how many apples are there in all ?,* number0 number1,37 17,629.0,2
ned was buying books about astronomy . he bought number0 books about the planets and number1 about the space program .,how many books did he buy total ?,+ number0 number1,8 4,12.0,2
jenny and her family just moved into a new city and today would be her first day on a new school . she wanted to make sure that she is well rested so she made sure that she had number0 hours of sleep . if an hour is composed of number1 minutes,how many minutes of sleep did she have ?,* number0 number1,8 60,480.0,2
maria had number0 sheets of paper in her desk and number1 more in her backpack .,how many did she have total ?,+ number0 number1,50 41,91.0,2
iesha has number0 books . number1 are about school and the rest are about sports .,how many books about sports does iesha have ?,- number0 number1,344 136,208.0,2
number0 people are watching a movie in a theater . the theater has number1 seats .,how many seats are empty in the theater ?,- number1 number0,532 750,218.0,2
while playing a game frank defeated number0 enemies . each enemy earned him number1 points . then he got another number2 points for completing the level .,how many points did he earn total ?,+ * number0 number1 number2,6 9 8,62.0,3
oliver had number0 cherries . after eating some he had number1 left .,what 's the difference between the number of cherries that oliver had before eating and the left after eating ?,- number0 number1,16 6,10.0,2
when he arrived there he went on to climb to the top of the falls . it usually takes number0 minutes for someone to get to the top . stanley took time to see the view so his climb took number1 times longer than the usual .,how many minutes did it take stanley to get to the top ?,* number0 number1,30 7,210.0,2
sam invited number0 friends to a birthday party but number1 could n't come . if he wanted to buy enough cupcakes so each person could have exactly number2,how many should he buy ?,* - number0 number1 number2,9 6 2,6.0,3
a chef had number0 apples . if he used number1 of them to make a pie,how many apples would he still have ?,- number0 number1,14 8,6.0,2
a contractor was buying wall outlets for a new house he was building . each room needed number0 outlets . if the house has number1 rooms,how many outlets does he need total ?,* number0 number1,6 7,42.0,2
on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .,how many raisins were on the table on monday ?,- number0 number1,88 8,80.0,2
a tourist group has number0 people . at a hotel they want to rent some large rooms for number1 people each and some small rooms for number2 each . in order to rent the least number of rooms and have every room fully occupied,how many large rooms should be rented ?,/ number0 number1,26 3 2,8.66666666666667,2
for gwen 's birthday she received number0 dollars . if she spent number1 dollars .,how much money did she still have ?,- number0 number1,5 3,2.0,2
ryan collected number0 leaves . he lost number1 leaves and threw away number2 leaves .,how many leaves did ryan have left ?,- - number0 number1 number2,89 24 43,22.0,3
number0 students were sitting at each table in the lunchroom . there are number1 tables .,how many students were sitting in the lunchroom ?,* number0 number1,6 34,204.0,2
for a party henry spent number0 dollars on food and number1 dollars on drinks .,how much did henry spend total ?,+ number0 number1,45 33,78.0,2
while playing basketball team a scored number0 points . if each person scored number1 points,how many people were playing ?,/ number0 number1,18 2,9.0,2
there were number0 red roses and number1 white roses in the vase . melanie cut some more roses from her flower garden . there are now number2 red roses in the vase .,how many red roses did she cut ?,- number2 number0,8 2 14,6.0,2
being concerned with the ecology of lakes hazel and her dad returned the youngling fishes they caught . if they took number0 fishes from lake ontario and erie number1 fishes from lake huron and michigan and number2 from lake superior,how many fishes will they bring home with them ?,+ + number0 number1 number2,23 30 44,97.0,3
paul was packing up his old toys . he managed to squeeze number0 toys into a box . if paul filled up number1 boxes,how many toys did he pack total ?,* number0 number1,8 4,32.0,2
daniel and his brother ben went to their grandfather 's farm for a few weeks of vacation . during their stay at the farm they were asked to take care of the animals . number0 day his grandfather asked if he could count the total number of sheep that they have . if there are number1 herds of sheep and each herd has number2 sheep,how many sheep do they have in total ?,* number1 number2,1 3 20,60.0,2
brad has number0 balloons . number1 balloons are red and the rest are green .,how many green balloons does brad have ?,- number0 number1,17 8,9.0,2
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,what 's the difference between the cost of the cookies and the money of diane ?,- number0 number1,65 27,38.0,2
amy bought number0 pencils at the school store but she already had number1 pencils .,how many pencils does she have totaled ?,+ number0 number1,7 3,10.0,2
a package had number0 cookies in it . after eating some there were number1 left .,how many were eaten ?,- number0 number1,18 9,9.0,2
todd had number0 cents in his pocket . he bought a candy bar for number1 cents . he bought a box of cookies for number2 cents .,how much money did todd spend altogether ?,+ number1 number2,85 14 39,53.0,2
liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .,how many books did they sell altogether ?,+ number0 number1,27 15,42.0,2
a chef had number0 cherries . if he used number1 of them to make a pie,how many cherries would he still have ?,- number0 number1,77 60,17.0,2
if carl has a total of number0 stamps and kevin has number1,how many more stamps does carl have more than kevin ?,- number0 number1,89 57,32.0,2
olivia was buying dvds of her favorite tv series . each season had number0 dvds . if she bought number1 seasons,how many dvds did she buy total ?,* number0 number1,8 5,40.0,2
chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another block,how many newspapers were they able to collect together ?,+ number0 number1,42 23,65.0,2
alyssa has number0 books in her library . she bought several books at a yard sale over the weekend . she now has number1 books in her library .,how many books did she buy at the yard sale ?,- number1 number0,30 88,58.0,2
there were number0 girls and number1 boys on the playground at recess .,how many children were there in all ?,+ number0 number1,28 35,63.0,2
cindy 's mom baked number0 cookies . paul 's dad baked number1 cookies . they both brought them to school for a party .,how many cookies did they have altogether ?,+ number0 number1,1215 1112,2327.0,2
jane 's mom picked cherry tomatoes from their backyard . if she gathered number0 cherry tomatoes and is about to place them in small jars which can contain number1 cherry tomatoes at a time,how many jars will she need ?,/ number0 number1,56 8,7.0,2
mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .,how many reptiles did mrs. hilt see ?,+ number0 number1,21 11 36 57,32.0,2
wendy earned number0 points for each bag of cans she recycled . if she had number1 bags but did n't recycle number2 of them,how many points would she have earned ?,* - number1 number2 number0,5 11 2,45.0,3
alex had some candles for his jack o'lanterns . he used number0 of them . now he has number1 left .,how many candles did alex have to start with ?,+ number0 number1,32 12,44.0,2
gary had some stickers . he gave number0 stickers to lucy and number1 stickers to alex . if he had number2 stickers left,how many stickers did gary have at first ?,+ + number0 number1 number2,42 26 31,99.0,3
our watermelons have number0 seeds each . if we have number1 watermelons,how many seeds should there be when all seeds are taken out of the watermelons ?,* number0 number1,100 4,400.0,2
emily collected eggs from the hen and put them into number0 baskets . she put number1 eggs into each basket .,how many eggs did emily collect ?,* number0 number1,303 28,8484.0,2
for the frosting and final touches willie will need to have number0 lbs . of whipped cream . if he got number1 lbs . of cream from his farm,how much more cream is needed to be bought ?,- number0 number1,300 149,151.0,2
debby had number0 quarters . if it costs number1 quarters for each coke from a coke machine,how many could she buy ?,/ number0 number1,873 3,291.0,2
the wolves though accustomed to cold weather also wanted to move away from the incoming winter . if there are number0 packs of wolves living in the forest and number1 packs went away,how many wolf packs were left in the forest ?,- number0 number1,43 31,12.0,2
arthur baked number0 muffins .,how many more muffins does arthur have to bake to have number1 muffins ?,- number1 number0,35 83,48.0,2
a clown had number0 balloons . he gave number1 away at a party .,what 's the difference between the number of balloons the clown had in the beginning and he gave away at a party ?,- number0 number1,16 4,12.0,2
olivia picked up number0 pieces of paper from the floor . if edward picked up number1 pieces,how many did they pick up total ?,+ number0 number1,16 3,19.0,2
paul had number0 strawberries in his basket . he picked number1 more strawberries .,how many strawberries did he have then ?,+ number0 number1,28 35,63.0,2
andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .,how many portions of appetizers did andrew bring in all ?,+ + number0 number1 number2,30 20 40,90.0,3
there were number0 pineapples in a store . the owner sold number1 pineapples . number2 of the remaining pineapples were rotten and thrown away .,how many fresh pineapples are left ?,- - number0 number1 number2,86 48 9,29.0,3
frank got number0 pounds of mushroom for family barbecue . if they ate number1 pounds,how many pounds were left ?,- number0 number1,15 8,7.0,2
winter is almost here and most animals are migrating to warmer countries . there are number0 bird families living near the mountain . if number1 bird families flew away for winter,how many bird families were left near the mountain ?,- number0 number1,67 32,35.0,2
matthew had number0 crackers . if matthew gave equal numbers of crackers to his number1 friends,how many crackers did each person eat ?,/ number0 number1,27 9,3.0,2
at the arcade henry had won number0 tickets . later he won number1 more tickets .,how many tickets did henry have total ?,+ number0 number1,58 40,98.0,2
there are number0 passengers on a bus . number1 of them are men number2 of them are women and the rest are children .,how many children are there on the bus ?,- - number0 number1 number2,54 18 26,10.0,3
josh had number0 marbles in his collection . he lost number1 marbles .,how many marbles does he have now ?,- number0 number1,16 7,9.0,2
the school 's baseball team had number0 new players and number1 returning players . if the coach put them into groups with number2 players in each group,how many groups would there be ?,/ + number0 number1 number2,2 22 3,8.0,3
kevin collected toys to use as prizes at the fair . he collected number0 stuffed animals . he also collected number1 frisbees and several yo-yos . kevin has number2 prizes in all .,how many yo-yos did kevin collect ?,- - number2 number1 number0,14 18 50,18.0,3
their next destination is lake erie . still in a contest hazel caught number0 different fishes while her father caught number1 how,many fishes did they catch in lake erie ?,+ number0 number1,48 46,94.0,2
the store has cd 's and dvd 's that you need .,how many packs of dvd 's can you buy with number0 dollars if number1 pack costs number2 dollars ?,/ number0 number2,132 1 12,11.0,2
sandy had number0 pet fish . she bought number1 more fish .,how many pet fish does sandy have now ?,+ number0 number1,26 6,32.0,2
alicia loves collecting art . she has a whole house filled with all the art she obtained since she was a little kid . when she decided to move away she started donating some of her art to different museums . first museum she went to was the metropolitan museum in new york . she donated number0 medieval art pieces from the number1 she originally has .,how many medieval art pieces were left with her ?,- number1 number0,46 70,24.0,2
if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1,how many recycled products will they be able to sell at the fair ?,+ number0 number1,65 28,93.0,2
the town of milburg has number0 grown-ups and number1 children .,how many people live in milburg ?,+ number0 number1,5256 2987,8243.0,2
there are a total of number0 items at a bakery . number1 of them are bread rolls and number2 of them are croissants .,how many bagels are there ?,- - number0 number1 number2,90 49 19,22.0,3
coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents .,how much change did coach mike get back ?,- number1 number0,58 75,17.0,2
number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree .,how many more flew up to the tree ?,- number1 number0,29 42,13.0,2
olivia had number0 quarters . if she spent number1 of them buying a soda,how many coins did she have left ?,- number0 number1,11 4,7.0,2
frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg .,how many times did meg jump ?,+ number0 number1,53 18,71.0,2
the wildcats scored number0 points in the first half of the game . the panthers scored number1 points .,how many more points did the wildcats score ?,- number0 number1,36 17,19.0,2
betty also bought number0 shiny blue round stones . if number1 pieces of this stone is in each bracelet,how many bracelets of blue shiny round stones will there be ?,/ number0 number1,140 14,10.0,2
at the zoo a cage had number0 snakes . if number1 were hiding,how many snakes were not hiding ?,- number0 number1,68 42,26.0,2
a fast food restaurant had number0 hotdogs . after selling some they had number1 left .,what 's the difference between the number of hotdogs before selling and after selling ?,- number0 number1,91 20,71.0,2
amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue .,how many blue balloons does amy have ?,- - number0 number1 number2,67 29 17,21.0,3
there were number0 laptops in the shop and mike divided them equally into number1 rows .,how many laptops are there in each row ?,/ number0 number1,44 5,8.8,2
the very first thing that rachel tried when they reached england was the food . if she ate number0 grams of bacon and number1 grams of sausages,how much food did she eat in total ?,+ number0 number1,276 147,423.0,2
a video game store was getting rid of old games selling them number0 for $ number1 . if they sold number2 games,how much money would they have made ?,* / number1 number0 number2,3 34.26 2,22.84,3
robin had number0 songs on her number1 player . if she deleted number2 old songs from it and then added number3 new songs,how many songs does she have on her number4 player ?,+ - number0 number2 number3,30 3 8 10 3,32.0,3
after paying $ number0 for a drink bryon has $ number1 .,how much money did he have before buying the drink ?,+ number0 number1,2.30 17.15,19.45,2
a group of number0 friends were dressing as pirates for halloween . if each costume cost number1 dollars,how much did they spend ?,* number0 number1,8 5,40.0,2
marian 's friends were coming over that afternoon so she made number0 bite-sized pretzels . if number1 serving is equal to number2 pretzels,how many servings of bite-sized pretzels was marian able to prepare ?,/ number0 number2,480 1 12,40.0,2
there are number0 people attending a luncheon . if a table can hold number1 people,how many tables do they need ?,/ number0 number1,234 9,26.0,2
paul got a box of number0 crayons for his birthday . at the end of the school year he only had number1 left .,how many crayons had been lost or given away ?,- number0 number1,479 134,345.0,2
there are some rooms in a building . number0 of them are classrooms number1 of them are office and the remaining number2 are reading rooms .,how many rooms are in the building ?,+ + number0 number1 number2,35 10 6,51.0,3
henry already had number0 dollars but earned another number1 dollars doing chores . his friend had number2 dollars . if they put their money together,how much would they have ?,+ + number0 number1 number2,5 2 13,20.0,3
an online toy store stocked some toys . it sold number0 toys at the first week and number1 toys at the second week . if it had number2 toys left,how many toys were in stock at the beginning ?,+ + number0 number1 number2,38 26 19,83.0,3
cheryl counted number0 lemons . lori bought number1 more lemons .,how many lemons do the girls have altogether ?,+ number0 number1,16 28,44.0,2
adam had number0 boxes of toys . each box had number1 toys . later adam bought number2 more toys .,how many toys did he have total ?,+ * number0 number1 number2,8 6 5,53.0,3
there are number0 more sections that are undeveloped . each of the remaining sections has a land area of number1 square feet .,what is the total area of the undeveloped land ?,* number0 number1,3 2435,7305.0,2
a large bag of balls was kept under haley 's bed . her mom placed the balls in bags for children in foster homes . if every bag can contain number0 balls and haley has number1 balls,how many bags will be used ?,/ number1 number0,4 36,9.0,2
there were number0 soccer balls in the bag . coach b. found several additional soccer balls and placed them in the bag . there are now number1 balls in the bag .,how many soccer balls did he pick up ?,- number1 number0,6 24,18.0,2
mrs. hilt read number0 books . each book had number1 chapters in it .,how many chapters did mrs. hilt read ?,* number0 number1,4 17,68.0,2
antonia has number0 barbie dolls . she packs away them in number1 wardrobes . if there are number2 barbie dolls in the first wardrobe,how many more barbie dolls are there in the second wardrobe than the first ?,- number0 * number2 number1,79 2 35,9.0,3
an architect was building a hotel downtown . he built it number0 stories tall with number1 rooms on each story .,how many rooms does the hotel have totaled ?,* number0 number1,3 8,24.0,2
a bus can transport number0 passengers . if a school of number1 students and teachers are going on a field trip,how many buses should be rented ?,/ number1 number0,48 1230,25.625,2
the treehouse is almost done ; all they need is to paint it . his father estimated that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint .,how many ounces of paint would they buy in total ?,+ + number0 number1 number2,20 15 34,69.0,3
number0 students signed up for computer classes . there were number1 second graders and number2 third graders . the rest of the students were number3 graders .,how many number4 graders took computer classes ?,- - number0 number1 number2,94 24 29 4 4,41.0,3
john threw a halloween party where number0 people showed up . if only number1 dressed up,how many people did n't wear costumes ?,- number0 number1,13 6,7.0,2
paul had number0 books . after selling some in a garage sale he had number1 left .,how many books did he sell ?,- number0 number1,86 78,8.0,2
savant has number0 jars . he puts in number1 coins in the first jar number2 coins in the second jar and number3 coins in the third jar .,how many coins does savant save together ?,+ + number1 number2 number3,3 34 29 13,76.0,3
paul was reading through his favorite book series . each week he read number0 different books .,how many books would he have read through after number1 weeks ?,* number0 number1,4 5,20.0,2
there are number0 blocks in bridget 's block collection . if the blocks are organized into number1 groups,how big is each group ?,/ number0 number1,820 82,10.0,2
a pet supply store has number0 bags of dog food and number1 bags of cat food .,how many more bags of dog food are there than cat food ?,- number0 number1,600 327,273.0,2
olivia owned number0 pennies . after she bought an apple she had number1 pennies left .,how many did she spend for the apple ?,- number0 number1,93 56,37.0,2
kim wants to buy a new watch that costs $ number0 .,how much change does she receive if she gives the cashier $ number1 ?,- number1 number0,87.60 100,12.4,2
paige had number0 math problems and number1 science problems for homework . if she finished number2 of the problems at school,how many problems did she have to do for homework ?,- + number0 number1 number2,43 12 44,11.0,3
number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning .,how many people visited the statue of liberty in the afternoon ?,+ number0 number1,35 56,91.0,2
if he spent a total of $ number0 and all the gifts cost a total of $ number1,how much money did he spend on giftwrapping and other expenses ?,- number0 number1,700.00 561.00,139.0,2
lex read a number0 page book about music and instruments . if he can read exactly number1 pages a day,how many days will it take lex to finish reading the book ?,/ number0 number1,420 30,14.0,2
lastly rob compared canada 's cn tower and seattle 's space needle .,how tall is the space needle if the cn tower stands at number0 m high and it is taller than the space needle by number1 m ?,- number0 number1,553 369,184.0,2
mrs. hilt went to a concert . a total of number0 people attended the concert . the next week she went to a second concert which had number1 more people in attendance .,how many people were at the second concert ?,+ number0 number1,65899 119,66018.0,2
sarah bought number0 new shirts for school . if she already had number1 shirts,how many did she own total ?,+ number0 number1,8 9,17.0,2
a pet store had number0 gerbils . if they sold number1 of them,how many would they have left ?,- number0 number1,85 69,16.0,2
while playing a video game victor lost number0 lives . now he has number1 lives .,what 's the difference between the number of the lives that victor lost and now ?,- number0 number1,14 2,12.0,2
she also decided to contribute to the collection of the museum of natural history . after donating some of her bug collection she was left with number0 bug species . if she originally has number1 bug species,how many did she donate ?,- number1 number0,39 98,59.0,2
an architect was building a hotel downtown . he bought number0 lamps to put in the rooms . if each room gets number1 lamps,how many rooms does the hotel have ?,/ number0 number1,147 7,21.0,2
after agreeing that the school menu needs to be changed they had a vote for food suggestions . if number0 voted to add more veggies to the menu and number1 voted to add more meat,how many students voted ?,+ number0 number1,337 335,672.0,2
there are number0 cupcakes for number1 children to share .,how much will each person get if they share the cupcakes equally ?,/ number0 number1,96 8,12.0,2
the roller coaster at the state fair costs number0 tickets per ride . if you had number1 tickets,how many times could you ride it ?,/ number1 number0,5 10,2.0,2
there are number0 students in the class . the teacher wants to split them into number1 groups . the first group has number2 students .,how many more students will there be in the second group ?,- number0 * number2 number1,56 2 24,8.0,3
ryan collected number0 leaves . he lost number1 leaves . after a while number2 more leaves broke .,how many leaves are left in his collection ?,- - number0 number1 number2,89 24 43,22.0,3
there were number0 pieces of candy in a jar . if number1 pieces were red and the rest were blue,how many were blue ?,- number0 number1,3409 145,3264.0,2
next on his list is the famous empire state building . there he learned that the building stands number0 feet to the top floor and the antenna spire is number1 feet .,how tall is the empire state building ?,+ number0 number1,1250 204,1454.0,2
todd has some gum . steve gave him number0 more pieces of gum . now todd has number1 pieces of gum .,how many pieces did todd have to start with ?,- number1 number0,16 54,38.0,2
a book store had number0 books in the bargin bin . if they sold number1 books but then put number2 more in the bin,how many books would be in the bin ?,+ - number0 number1 number2,4 3 10,11.0,3
roger had number0 dollars . if he spent number1 bucks on a new game,how many number2 dollar toys could he buy with the money he had left ?,/ - number0 number1 number2,63 48 3,5.0,3
a vet was weighing number0 cats . the first weighed number1 pounds . the second weighed number2 pounds and the last weighed number3 pounds .,what is their combined weight ?,+ + number1 number2 number3,3 2 7 4,13.0,3
lana 's mom was buying extra school supplies for her and her siblings . if she bought number0 packs of glue sticks with number1 glue sticks in each pack,how many did she get total ?,* number0 number1,3 7,21.0,2
dylan the dog prepared number0 hotdog sticks in a brown bag . his father placed number1 more hotdog sticks in the same brown bag .,how many hotdog sticks did dylan and his father place in the brown bag ?,+ number0 number1,241 426,667.0,2
lisa invited the entire third grade to her party . there are number0 students altogether . number1 of the students are boys and number2 are girls . number3 students will not be able to go to the party .,how many students will be there ?,- number0 number3,48 23 25 9,39.0,2
